text,predicted_label,confidence,positive_probability,negative_probability
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",POSITIVE,0.9919,0.9919,0.0081
"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",NEGATIVE,0.9982,0.0018,0.9982
"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",POSITIVE,0.9977,0.9977,0.0023
It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,POSITIVE,0.983,0.983,0.017
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",NEGATIVE,0.9488,0.0512,0.9488
"It s an area that is highly valued , because most of the land there has already been built on .",POSITIVE,0.9995,0.9995,0.0005
"Kaukopartio Oy has acquired specialized knowledge in Far Eastern operations , and industrial sourcing services are their core competence .",POSITIVE,0.9962,0.9962,0.0038
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,NEGATIVE,0.9237,0.0763,0.9237
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",NEGATIVE,0.9665,0.0335,0.9665
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",POSITIVE,0.501,0.501,0.499
The fine print is here .,POSITIVE,0.999,0.999,0.001
M. and a Master of Business Administration MBA .,POSITIVE,0.9619,0.9619,0.0381
Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces .,POSITIVE,0.9997,0.9997,0.0003
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,POSITIVE,0.9956,0.9956,0.0044
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,POSITIVE,0.9888,0.9888,0.0112
NetCom expects to complete Turbo 3G deployment in these areas this year .,NEGATIVE,0.9742,0.0258,0.9742
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",POSITIVE,0.9968,0.9968,0.0032
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",POSITIVE,0.9748,0.9748,0.0252
Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,POSITIVE,0.9985,0.9985,0.0015
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",POSITIVE,0.7985,0.7985,0.2015
"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",POSITIVE,0.8062,0.8062,0.1938
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",POSITIVE,0.6863,0.6863,0.3137
"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",POSITIVE,0.6829,0.6829,0.3171
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",POSITIVE,0.9971,0.9971,0.0029
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,NEGATIVE,0.9963,0.0037,0.9963
Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .,POSITIVE,0.9995,0.9995,0.0005
Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,POSITIVE,0.9994,0.9994,0.0006
Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,POSITIVE,0.9994,0.9994,0.0006
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,POSITIVE,0.9993,0.9993,0.0007
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,POSITIVE,0.9994,0.9994,0.0006
Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .,POSITIVE,0.9994,0.9994,0.0006
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",NEGATIVE,0.6128,0.3872,0.6128
"Pulkovo park will be ready in 2016 , its first stage of 23,000 sq. m. will be finished in the first quarter of 2010 .",POSITIVE,0.9922,0.9922,0.0078
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,POSITIVE,0.9909,0.9909,0.0091
"Rapala VMC Corporation Rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of Peltonen with its 80 % shareholding .",POSITIVE,0.92,0.92,0.08
"Remote Phone Management demonstrates SysOpen Digia 's unique end-to-end offering for operators , handset manufacturers and enterprise customers .",POSITIVE,0.9984,0.9984,0.0016
"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",POSITIVE,0.9113,0.9113,0.0887
RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,POSITIVE,0.6221,0.6221,0.3779
Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,POSITIVE,0.9956,0.9956,0.0044
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,POSITIVE,0.8993,0.8993,0.1007
s already good position in the technical building services market in Ostrobothnia .,POSITIVE,0.9877,0.9877,0.0123
"S Group 's loyal customer magazine Yhteishyv+ñ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",POSITIVE,0.9822,0.9822,0.0178
"SCOPI Chief Business Excellence Officer , Eng .",POSITIVE,0.9876,0.9876,0.0124
"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures .",POSITIVE,0.9944,0.9944,0.0056
"Stora Enso Oyj said Friday it will sell its North American unit to NewPage , in a deal valued at euro1 .82 billion US$ 2.52 million .",NEGATIVE,0.7698,0.2302,0.7698
Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',POSITIVE,0.9432,0.9432,0.0568
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",POSITIVE,0.9986,0.9986,0.0014
"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland .",POSITIVE,0.908,0.908,0.092
"Tekla 's software solutions make customers ' core processes more effective in building and construction , energy distribution , infrastructure management and water supply .",POSITIVE,0.9886,0.9886,0.0114
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",POSITIVE,0.9822,0.9822,0.0178
The aim is to develop open-source application solutions .,POSITIVE,0.9868,0.9868,0.0132
"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",NEGATIVE,0.8869,0.1131,0.8869
"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",NEGATIVE,0.9733,0.0267,0.9733
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",NEGATIVE,0.9846,0.0154,0.9846
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,NEGATIVE,0.9749,0.0251,0.9749
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",NEGATIVE,0.9508,0.0492,0.9508
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",POSITIVE,0.9861,0.9861,0.0139
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",POSITIVE,0.99,0.99,0.01
"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",NEGATIVE,0.9947,0.0053,0.9947
The company had hoped the new plant would be on stream by the end of 2008 .,NEGATIVE,0.5651,0.4349,0.5651
"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities .",POSITIVE,0.9946,0.9946,0.0054
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,NEGATIVE,0.9822,0.0178,0.9822
"The company said Offshore segment represented 43 % of the total marine engines orders for the July-September 2010 period , Merchant 33 % , Special vessels 18 % , and Cruise and Ferry , and Ship Design -- 2 % and 3 % , respectively .",NEGATIVE,0.8588,0.1412,0.8588
"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .",NEGATIVE,0.923,0.077,0.923
